There are   5036 grains.
Grainsize GrainFarea  GrainFeqR GrainFeqD GrainFsf GrainFfitEangle GrainFfitElongA GrainFfitEshortb GrainFasp
     16.00    18.375000   2.418459   4.836918   1.285602  27.020504   2.914844   2.006606   0.688409
    102.00   105.625000   5.798403  11.596807   1.361605 177.252618   6.974025   4.820958   0.691273
     33.00    33.500000   3.265483   6.530967   1.307579 148.298907   3.808817   2.799657   0.735046
      5.00     5.250000   1.292721   2.585441   1.282159 161.534467   1.514700   1.103272   0.728377
     37.00    40.250000   3.579382   7.158763   1.248162  12.326904   4.240186   3.021559   0.712600
     25.00    28.041667   2.987631   5.975262   1.372547  45.885835   3.499674   2.550506   0.728784
      2.00     2.500000   0.892062   1.784124   1.218276  91.838946   1.119048   0.711118   0.635467
    369.00   381.500000  11.019765  22.039530   1.430410  80.534351  11.991431  10.126833   0.844506
    137.00   143.541667   6.759492  13.518984   1.633984 101.073818  10.145055   4.503744   0.443935
     53.00    56.666667   4.247065   8.494130   1.360339 150.498532   4.741642   3.804075   0.802269
    164.00   171.791667   7.394795  14.789589   1.736112 149.125157  10.038095   5.447546   0.542687
    108.00   114.687500   6.042033  12.084066   1.420207 139.727365   7.996605   4.565208   0.570893
     69.00    73.500000   4.836918   9.673836   1.227778  78.024759   5.113548   4.575253   0.894732
    485.00   492.750000  12.523865  25.047730   1.687627  49.995067  16.594890   9.451536   0.569545
     11.00    12.250000   1.974664   3.949327   1.389731 163.474442   2.518335   1.548363   0.614836
     69.00    73.000000   4.820438   9.640876   1.317350 177.123907   6.720024   3.457818   0.514554
    136.00   140.000000   6.675581  13.351162   1.394369 166.580144   9.265571   4.809567   0.519079
      2.00     3.791667   1.098601   2.197203   1.229184  60.335876   1.250320   0.965292   0.772036
     37.00    42.062500   3.659086   7.318172   1.232869 121.980693   4.206861   3.182636   0.756535
     70.00    73.062500   4.822501   9.645002   1.434486  49.624477   5.415102   4.294751   0.793106
     80.00    82.000000   5.108954  10.217908   1.297701 170.759937   5.665874   4.606775   0.813074
     22.00    23.250000   2.720424   5.440847   1.242774  91.972701   3.282207   2.254795   0.686975
     28.00    30.500000   3.115839   6.231678   1.280613 102.282391   3.880560   2.501817   0.644705
      5.00     5.625000   1.338093   2.676186   1.322788 111.806912   1.605746   1.115054   0.694415
     90.00    94.250000   5.477290  10.954580   1.287634 115.594166   6.152468   4.876207   0.792561
     67.00    71.062500   4.756038   9.512076   1.243948  22.792357   4.911257   4.605724   0.937789
    130.00   136.825000   6.599451  13.198901   1.319889  20.095087   6.813411   6.392209   0.938180
     97.00    99.791667   5.636016  11.272032   1.327451 175.337638   6.371919   4.985104   0.782355
      8.00     8.500000   1.644881   3.289762   1.434765 109.727371   1.937658   1.396343   0.720634
      8.00     9.375000   1.727471   3.454941   1.247053 158.893620   2.099715   1.421219   0.676863
     45.00    47.791667   3.900328   7.800656   1.418614 113.702039   4.652160   3.269999   0.702899
     14.00    15.250000   2.203231   4.406462   1.636665 130.522127   3.190253   1.521580   0.476947
     50.00    52.875000   4.102516   8.205031   1.465584 174.603118   4.691570   3.587421   0.764652
     24.00    26.500000   2.904344   5.808687   1.186773 167.281584   3.218186   2.621108   0.814468
    340.00   346.000000  10.494533  20.989066   1.779122   8.028268  13.758411   8.004937   0.581821
     11.00    11.750000   1.933944   3.867889   1.254401  10.218830   2.187267   1.709961   0.781780
     57.00    61.750000   4.433468   8.866935   1.354377 132.017933   5.577101   3.524346   0.631931
      7.00     7.750000   1.570637   3.141275   1.257950 122.460431   1.754348   1.406165   0.801531
     18.00    19.000000   2.459245   4.918491   1.347953  98.080977   3.365570   1.796988   0.533933
     18.00    23.000000   2.705758   5.411516   1.204961  91.362175   3.031223   2.415239   0.796787
     56.00    62.916667   4.475153   8.950307   1.255475 133.140996   4.814995   4.159297   0.863822
     29.00    33.125000   3.247155   6.494310   1.243181  27.068870   3.742615   2.817285   0.752758
     39.00    41.250000   3.623573   7.247146   1.232940  65.325496   3.754011   3.497667   0.931715
     51.00    56.062500   4.224364   8.448727   1.369299 129.116664   5.101853   3.497797   0.685594
     36.00    37.250000   3.443406   6.886812   1.259161  21.930244   4.085911   2.901934   0.710229
    355.00   360.875000  10.717746  21.435492   1.497578  22.889773  13.837887   8.301128   0.599884
     19.00    21.000000   2.585441   5.170883   2.035793 153.749388   4.781557   1.397977   0.292369
     11.00    11.500000   1.913260   3.826520   1.233506 103.812730   2.114583   1.731104   0.818650
     27.00    30.500000   3.115839   6.231678   1.412693  14.690398   4.153907   2.337186   0.562648
     10.00    11.937500   1.949314   3.898628   1.147271 178.166584   2.238823   1.697242   0.758096
     16.00    19.250000   2.475372   4.950744   1.419067 163.081465   3.322230   1.844383   0.555164
     23.00    24.375000   2.785463   5.570926   1.344766  50.899998   2.983225   2.600811   0.871812
     66.00    70.666667   4.742773   9.485547   1.453059 131.076956   5.756496   3.907568   0.678810
    132.00   144.958333   6.792766  13.585532   1.528824  33.597832   7.224743   6.386617   0.883992
     77.00    83.583333   5.158042  10.316085   1.272098 157.273048   6.107728   4.356023   0.713199
      3.00     3.500000   1.055502   2.111004   1.331203 135.038884   1.173321   0.949514   0.809253
     42.00    47.125000   3.873029   7.746058   1.264772 151.011891   4.584258   3.272144   0.713778
    165.00   166.750000   7.285477  14.570954   1.543535 147.569552  10.415273   5.096186   0.489299
    184.00   187.166667   7.718614  15.437228   1.575385 116.423361   9.324106   6.389567   0.685274
      9.00    11.875000   1.944204   3.888408   1.209491  75.110244   2.252715   1.677944   0.744854
     17.00    18.500000   2.426671   4.853342   1.289209  16.547660   2.521348   2.335549   0.926310
      7.00     9.375000   1.727471   3.454941   1.377347 168.991751   2.646153   1.127734   0.426179
     90.00    94.625000   5.488176  10.976351   1.769580 140.223689   8.413302   3.580054   0.425523
    177.00   186.625000   7.707437  15.414874   1.574804  26.780839  10.829959   5.485209   0.506485
     46.00    54.312500   4.157909   8.315818   1.417331  30.452403   5.234598   3.302681   0.630933
      4.00     4.791667   1.235004   2.470008   1.098307 174.519617   1.311235   1.163205   0.887106
      2.00     2.250000   0.846284   1.692569   1.206277   3.618077   1.017896   0.703605   0.691235
