Nr.	Phase	Area [µm²]	d [µm]	l	Xcg	Ycg	Aspect ratio	Slope	GOS [°]	MOS [°]	Mean E1 [°]	Mean E2 [°]	Mean E3 [°]	In current dataset	Border grain	Grain ID
122	Aluminium	199	15.918	8	358.79	25.76	2.3756	94.293	0.55	1.21	138.51	43.37	18.72	True	no	121
123	Aluminium	68	9.3049	2	389.91	17.88	1.5825	101.38	0.67	2.25	181.61	47.43	42.17	True	no	122
124	Aluminium	53	8.2147	2	395.13	18.23	2.4478	97.765	0.54	1.18	216.36	27.61	79.45	True	no	123
125	Aluminium	24	5.5279	1	26.33	16.58	1.9492	74.434	1.63	3.81	298.68	31.48	30.31	True	no	124
126	Aluminium	10	3.5682	3	98.70	14.70	1.27	45	0.49	1.14	86.69	38.26	11.24	True	no	125
127	Aluminium	14	4.222	4	118.71	15.79	2.594	58.774	1.26	2.27	46.43	32.49	68.69	True	no	126
128	Aluminium	14	4.222	2	203.57	15.00	1.7803	128.56	0.63	1.19	130.07	49.30	54.96	True	no	127
129	Aluminium	18	4.7873	0	303.94	15.22	1.306	41.639	1.54	2.85	233.91	5.98	62.80	True	no	128
130	Aluminium	13	4.0684	2	320.31	15.08	1.1571	118.76	0.50	0.84	116.55	15.46	61.23	True	no	129
131	Aluminium	12	3.9088	2	329.33	14.83	1.4518	81.748	0.66	1.42	338.18	17.39	25.46	True	no	130
132	Aluminium	12	3.9088	5	95.33	16.08	1.4989	106.44	0.63	1.20	231.27	40.64	59.42	True	no	131
133	Aluminium	15	4.3702	3	207.47	16.33	1.4042	131.58	0.70	1.40	213.67	17.37	61.02	True	no	132
134	Aluminium	120	12.361	4	235.94	21.25	1.3932	35.724	0.87	2.11	161.29	41.42	79.31	True	no	133
135	Aluminium	13	4.0684	4	316.77	17.38	1.9508	42.414	0.67	1.32	14.32	41.33	19.31	True	no	134
136	Aluminium	250	17.841	9	377.45	28.42	2.992	78.604	0.75	1.98	116.06	31.59	16.54	True	no	135
137	Aluminium	35	6.6756	4	160.94	19.37	1.389	84	0.65	1.25	301.37	40.79	27.68	True	no	136
138	Aluminium	10	3.5682	3	219.90	17.40	1.7781	80.692	0.45	0.92	5.60	42.40	85.26	True	no	137
139	Aluminium	24	5.5279	2	363.42	19.46	2.9942	97.177	0.43	0.85	138.66	43.11	19.22	True	no	138
140	Aluminium	21	5.1709	2	11.62	18.71	1.9862	145.93	0.93	1.72	219.23	16.73	73.50	True	no	139
141	Aluminium	35	6.6756	1	20.91	20.66	1.8158	117.03	3.07	6.51	158.69	45.97	72.92	True	no	140
142	Aluminium	92	10.823	4	34.97	22.03	1.4502	145.72	1.58	2.60	263.95	19.06	2.49	True	no	141
